word,language,count,pos,tsne_x,tsne_y
canal,en,7,NOUN,19.926546,-38.63484
brain,en,1,NOUN,54.916664,15.443413
controversy,en,1,NOUN,33.230804,37.018753
chain,en,3,NOUN,20.57758,11.80722
circle,en,3,NOUN,4.0245566,-34.189064
opportunity,en,19,NOUN,16.928444,40.085987
manner,en,62,NOUN,21.006456,22.706856
lawyer,en,1,NOUN,19.940622,0.8969977
reader,en,1,NOUN,23.555895,20.513323
pan,en,1,NOUN,11.606875,3.7244613
duty,en,3,NOUN,6.412049,4.078244
chair,en,8,NOUN,2.4648497,-9.036238
stuff,en,13,NOUN,21.007202,25.470512
composition,en,2,NOUN,0.89431643,-38.32562
salt,en,1,NOUN,50.270325,-17.734762
contribution,en,2,NOUN,22.610321,17.958055
retirement,en,3,NOUN,5.5799255,-7.2199035
discovery,en,2,NOUN,4.077967,-27.436115
frame,en,2,NOUN,40.16726,-27.718815
assistance,en,1,NOUN,8.04878,40.88137
sale,en,2,NOUN,3.9216998,25.661129
successor,en,2,NOUN,7.22618,-5.924289
cabinet,en,9,NOUN,1.9387821,-6.778818
evening,en,5,NOUN,14.987435,7.4413433
singing,en,3,NOUN,33.826527,-6.565228
mail,en,1,NOUN,6.397135,17.48453
mode,en,1,NOUN,24.289427,7.7522197
priest,en,9,NOUN,25.30579,-22.581707
trophy,en,1,NOUN,8.793464,7.213596
snow,en,10,NOUN,14.445225,3.0013793
shop,en,12,NOUN,42.3982,-12.312704
coal,en,2,NOUN,46.927002,-24.14382
error,en,2,NOUN,25.270054,38.470634
accident,en,3,NOUN,15.69206,48.736366
wine,en,12,NOUN,52.527832,-16.66046
landing,en,1,NOUN,8.945325,-11.0577345
conduct,en,11,NOUN,30.18009,35.667416
vision,en,1,NOUN,36.725403,11.85405
scheme,en,2,NOUN,12.176231,36.452698
ceremony,en,19,NOUN,30.120325,-15.407533
scholar,en,2,NOUN,20.91083,-16.737194
hero,en,4,NOUN,32.850864,-0.39314812
hair,en,26,NOUN,57.75232,5.078377
window,en,17,NOUN,40.168373,-25.780457
leg,en,6,NOUN,52.349754,9.222886
instrument,en,6,NOUN,36.94319,-7.946058
covering,en,2,NOUN,14.266853,15.67018
roof,en,9,NOUN,38.03833,-26.393003
colour,en,14,NOUN,53.867023,-9.2159
steam,en,1,NOUN,46.10059,-24.498264
journey,en,38,NOUN,11.841221,-8.657519
soldier,en,6,NOUN,2.6610942,2.2546139
skin,en,5,NOUN,56.724316,14.661947
phrase,en,3,NOUN,49.07225,33.446465
advantage,en,14,NOUN,17.390743,40.66743
goods,en,4,NOUN,25.190657,3.5352144
explanation,en,1,NOUN,23.016262,34.30066
threat,en,1,NOUN,15.314829,43.625835
relief,en,4,NOUN,7.6943846,41.05169
poverty,en,3,NOUN,42.93935,33.818424
permission,en,9,NOUN,9.318346,37.57263
gate,en,8,NOUN,34.76167,-26.53159
roll,en,2,NOUN,44.812428,-30.523296
principle,en,2,NOUN,22.128098,30.96821
ridge,en,1,NOUN,20.346447,-32.547493
monument,en,2,NOUN,35.49696,-21.543217
expression,en,10,NOUN,20.80234,28.496922
wheel,en,1,NOUN,46.218105,-0.4950008
ambassador,en,7,NOUN,5.4010878,-10.894172
desert,en,7,NOUN,-7.358515,-44.966198
uncle,en,1,NOUN,16.625372,-8.090032
rain,en,5,NOUN,14.867365,2.7320933
admiral,en,6,NOUN,4.7437096,-0.41422096
fishing,en,1,NOUN,63.3613,-18.939966
fear,en,18,NOUN,40.97086,30.97679
merit,en,5,NOUN,23.48683,13.064416
poem,en,1,NOUN,29.741556,-9.737851
proof,en,10,NOUN,24.19424,33.41193
mouth,en,5,NOUN,58.670197,10.471967
virgin,en,7,NOUN,29.057251,-20.284513
beauty,en,55,NOUN,33.591335,6.200062
baker,en,1,NOUN,55.417904,-31.395788
cook,en,3,NOUN,56.461117,-31.035172
shore,en,2,NOUN,23.37162,-34.866425
tone,en,1,NOUN,21.618586,22.202385
reception,en,2,NOUN,25.88889,17.629013
